"Area","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"United Republic of Tanzania",3.1,45.5,55.6,77.2,13.755158184,50,NA,NA
"United States of America",3.1,98.2,99.2,99.4,15.725625281,4200,NA,NA
"Uruguay",3,93.9,99.7,100,NA,NA,NA,NA
"Uzbekistan",2.7,80.9,87.3,98.5,27.293844367,1175,271.8,NA
"Vanuatu",NA,92.9,94.5,98.9,NA,NA,NA,NA
"Venezuela (Bolivarian Republic of)",2.7,77.9,93.1,95,NA,NA,22.06,NA
"Viet Nam",3.8,96.9,97.6,99.1,6.542932542,300,177.6,NA
"Yemen",2.9,46.5,54.9,72,NA,NA,NA,NA
"Zambia",2.5,51.3,65.4,85.6,NA,NA,NA,NA
"Zimbabwe",2.8,67.3,76.9,97,NA,NA,NA,NA
