"Area","Agricultural water withdrawal as % of total renewable water resources","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","SDG 6.4.1. Industrial Water Use Efficiency","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency","SDG 6.4.1. Services Water Use Efficiency","SDG 6.4.1. Water Use Efficiency","SDG 6.4.2. Water Stress","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"United Kingdom of Great Britain and Northern Ireland",0.804761905,3.4,100,453.726941456,0.848839996,360.161670996,320.902032527,14.354646206,100,100,NA,NA,NA,NA
"United Republic of Tanzania",4.811467747,3.1,45.5,794.771267191,0.23465031,49.766569662,9.101690611,12.96324081,55.6,77.2,13.755158184,50,NA,NA
"United States of America",5.741283806,3.1,98.2,15.855290666,0.21374072,291.533153292,45.882501043,28.16198427,99.2,99.4,15.725625281,4200,NA,NA
"Uruguay",1.840882695,3,93.9,112.42689686,0.195325243,95.125922301,13.282776205,9.786096257,99.7,100,NA,NA,NA,NA
"Uzbekistan",81.223654594,2.7,80.9,19.369272418,0.7188292,21.808648953,2.534458626,121.835388586,87.3,98.5,27.293844367,1175,271.8,NA
"Vanuatu",NA,NA,92.9,NA,NA,NA,NA,NA,94.5,98.9,NA,NA,NA,NA
"Venezuela (Bolivarian Republic of)",1.261132075,2.7,77.9,56.804763348,0.115295676,8.453478778,3.990797492,7.540366667,93.1,95,NA,NA,22.06,NA
"Viet Nam",8.794055106,3.8,96.9,37.282747739,0.301625305,131.41153453,3.615029193,18.130315379,97.6,99.1,6.542932542,300,177.6,NA
"Yemen",154.047619048,2.9,46.5,57.202441375,0.615422498,42.876881971,4.788618287,169.761904762,54.9,72,NA,NA,NA,NA
"Zambia",1.099236641,2.5,51.3,78.757202404,0.036154808,42.822402918,14.439302479,2.835497836,65.4,85.6,NA,NA,NA,NA
"Zimbabwe",21.406246975,2.8,67.3,67.376578172,0.03671253,22.534399643,3.659397636,46.091620306,76.9,97,NA,NA,NA,NA
